page_name,page_url,axe_alt_els,axe_contrast_els,axe_els[AXE.INCOMPLETE_CRITICAL],axe_els[AXE.INCOMPLETE_MINOR],axe_els[AXE.INCOMPLETE_MODERATE],axe_els[AXE.INCOMPLETE_SERIOUS],axe_els[AXE.VIOLATIONS_CRITICAL],axe_els[AXE.VIOLATIONS_MINOR],axe_els[AXE.VIOLATIONS_MODERATE],axe_els[AXE.VIOLATIONS_SERIOUS],axe_err[AXE.INCOMPLETE_CRITICAL],axe_err[AXE.INCOMPLETE_MINOR],axe_err[AXE.INCOMPLETE_MODERATE],axe_err[AXE.INCOMPLETE_SERIOUS],axe_err[AXE.VIOLATIONS_CRITICAL],axe_err[AXE.VIOLATIONS_MINOR],axe_err[AXE.VIOLATIONS_MODERATE],axe_err[AXE.VIOLATIONS_SERIOUS],codesniffer_alt_els,codesniffer_contrast_els,codesniffer_els[WCAG.OPERABLE_ERROR],codesniffer_els[WCAG.OPERABLE_WARNING],codesniffer_els[WCAG.PERCEIVABLE_ERROR],codesniffer_els[WCAG.PERCEIVABLE_WARNING],codesniffer_els[WCAG.ROBUST_ERROR],codesniffer_els[WCAG.ROBUST_WARNING],codesniffer_els[WCAG.UNDERSTANDABLE_ERROR],codesniffer_err[WCAG.OPERABLE_ERROR],codesniffer_err[WCAG.OPERABLE_WARNING],codesniffer_err[WCAG.PERCEIVABLE_ERROR],codesniffer_err[WCAG.PERCEIVABLE_WARNING],codesniffer_err[WCAG.ROBUST_ERROR],codesniffer_err[WCAG.ROBUST_WARNING],codesniffer_err[WCAG.UNDERSTANDABLE_ERROR],lighthouse_desktop[audit-score_cumulative-layout-shift],lighthouse_desktop[audit-score_first-contentful-paint],lighthouse_desktop[audit-score_interactive],lighthouse_desktop[audit-score_largest-contentful-paint],lighthouse_desktop[audit-score_max-potential-fid],lighthouse_desktop[audit-score_speed-index],lighthouse_desktop[audit-score_total-blocking-time],lighthouse_desktop[audit-val_cumulative-layout-shift],lighthouse_desktop[audit-val_first-contentful-paint],lighthouse_desktop[audit-val_interactive],lighthouse_desktop[audit-val_largest-contentful-paint],lighthouse_desktop[audit-val_max-potential-fid],lighthouse_desktop[audit-val_speed-index],lighthouse_desktop[audit-val_total-blocking-time],lighthouse_desktop[cat-score_accessibility],lighthouse_desktop[cat-score_best-practices],lighthouse_desktop[cat-score_performance],lighthouse_desktop[cat-score_pwa],lighthouse_desktop[cat-score_seo],lighthouse_mobile[audit-score_cumulative-layout-shift],lighthouse_mobile[audit-score_first-contentful-paint],lighthouse_mobile[audit-score_interactive],lighthouse_mobile[audit-score_largest-contentful-paint],lighthouse_mobile[audit-score_max-potential-fid],lighthouse_mobile[audit-score_speed-index],lighthouse_mobile[audit-score_total-blocking-time],lighthouse_mobile[audit-val_cumulative-layout-shift],lighthouse_mobile[audit-val_first-contentful-paint],lighthouse_mobile[audit-val_interactive],lighthouse_mobile[audit-val_largest-contentful-paint],lighthouse_mobile[audit-val_max-potential-fid],lighthouse_mobile[audit-val_speed-index],lighthouse_mobile[audit-val_total-blocking-time],lighthouse_mobile[cat-score_accessibility],lighthouse_mobile[cat-score_best-practices],lighthouse_mobile[cat-score_performance],lighthouse_mobile[cat-score_pwa],lighthouse_mobile[cat-score_seo]
,https://www.vvsu.ru/,0,90,,5,,64,2,4,2,32,,1,,1,1,1,2,2,12,105,,,39,122,17,4,2,,,4,9,5,2,1,0.87,0.91,0.72,0.68,0.89,0.63,1,0.11352948384281,922.091,3417.62,1852.377,135,1993.3235394899,62.5,0.77,0.8,0.83,0.36,0.92,0.88,0.94,0.13,0.04,0.2,0.47,0.39,0.10900913906097,1595.304,12982.949,7626.449,384,5988.7844498475,755.892,0.69,0.73,0.41,0.42,0.91
,http://vlsu.ru/,0,0,,,,,,,,,,,,,,,,,39,163,,,40,230,1,1,,,,2,9,1,1,,1,0.97,1,0.81,1,0.31,1,0.011741108338459,705.7555,790.61,1492.7505,47,2851.2119437741,0,0.82,0.6,0.88,0,0.7,1,0.63,0.64,0.06,0.49,0.49,0.86,8.0428864493637E-5,2631.6145,6096.045,7118.994,254,5852.9946550888,239.91,0.82,0.53,0.6,0,0.58
,http://www.vstu.ru/,10,32,,3,,13,11,6,30,42,,1,,1,2,1,3,4,13,36,,,34,26,9,8,1,,,4,7,3,1,1,0.38,0.05,0.54,0.1,1,0.03,1,0.31128058983504,3190.413,4308.723,4770.453,48,5121.6277404126,22,0.71,0.67,0.44,0.36,0.73,0.68,0,0.14,0,0.6,0.06,0.69,0.1792496647305,9098.047,12604.431,10659.118,220,11130.976432886,390,0.71,0.6,0.33,0.33,0.75
,https://vgasu.ru/,1,25,,7,,18,8,1,4,14,,2,,1,2,1,2,2,1,35,,,11,37,14,,2,,,3,8,5,,1,0.69,0.98,1,0.95,1,0.9,1,0.1739031899262,662.159,681.659,960.549,39,1327.0154034597,0,0.75,0.87,0.93,0.36,0.8,0.26,0.74,0.86,0.83,0.71,0.8,0.76,0.39952880446116,2314.514,4176.664,2807.853,188,4075.2991083236,332,0.82,0.87,0.71,0.42,0.89
,https://vspu.ru/,19,73,,1,,62,19,,32,30,,1,,1,1,,3,2,50,95,,,71,135,5,5,,,,3,13,1,2,,0.96,0.85,0.99,0.53,1,0.79,1,0.069021084427695,1041.094,1384.459,2318.518,57,1621.6853020473,3.5,0.79,0.47,0.84,0.18,0.64,0.48,0.36,0.43,0.02,0.26,0.6,0.73,0.25685142611389,3463.276,7941.729,8343.645,348,5212.0174219154,352,0.79,0.4,0.44,0.17,0.54
,https://volsu.ru/,2,102,1,2,,94,4,16,51,89,1,1,,2,3,1,3,4,44,91,1,2,58,196,46,22,1,1,1,4,18,7,2,1,1,0.57,0.45,0.22,0.65,0.28,0.8,0.008559606762838,1486.629,4771.74,3674.469,204,2978.4036841908,199,0.71,0.53,0.57,0.45,0.82,0.39,0.08,0.04,0.22,0.01,0.12,0.06,0.30756678644816,5215.33,17923.9125,5284.83,769,9472.3559561765,2335.5,0.71,0.47,0.16,0.5,0.8
,https://vogu35.ru/,37,72,,15,,47,37,2,34,36,,1,,1,1,1,3,2,56,113,,,95,159,49,10,,,,3,9,3,1,,1,0.54,0.9,0.28,0.16,0.41,0.84,0.033541315048754,1532.1165,2459.428,3291.406,416,2542.8556429256,183,0.71,0.67,0.66,0.45,0.82,0.09,0.01,0.28,0,0,0.19,0.17,0.65696390151978,7344.3615,9851.7095,12033.274,1564,8403.5555553362,1354.3195,0.69,0.6,0.11,0.5,0.76
,https://vsuet.ru/,16,69,,,,54,26,,25,33,,,,1,5,,4,4,33,61,,,45,94,7,,,,,4,12,4,,,0.37,0.92,0.99,0.32,1,0.66,1,0.31765923978752,891.232,1434.2485,3071.605,38.5,1922.1866006479,0,0.57,0.73,0.69,0.45,0.82,0.18,0.66,0.85,0.03,0.82,0.74,0.94,0.47794205178155,2541.847,4330.2705,7932.7915,157,4430.0791290444,157.5,0.57,0.67,0.54,0.5,0.83
,http://www.vspu.ac.ru/,13,30,,1,,12,14,1,40,45,,1,,2,2,1,3,3,30,40,,,53,20,6,2,1,,,4,4,3,1,1,0.63,0.75,0.75,0.59,0.12,0.77,0.56,0.19543246742433,1212.0335,3265.7735,2135.965,451,1651.3443435581,317.5,0.64,0.67,0.64,0.18,0.82,0.79,0.08,0.08,0,0,0.43,0.18,0.13882269965278,5244.184,15142.158,28078.241,1307,6274.4693463786,1302.5,0.64,0.6,0.23,0.17,0.83
,https://cchgeu.ru/,2,62,14,,,33,12,2,11,87,1,,,1,5,2,3,5,2,44,1,,27,117,74,,,1,,3,11,4,,,0.23,0.5,0.71,0.08,0.81,0.44,0.8,0.42344935982037,1599.4375,3474.8835,5160.39,159,2458.3780150765,199.9145,0.58,0.87,0.46,0.36,0.91,0.85,0.02,0.07,0,0.06,0.13,0.24,0.11755416075389,6699.63,15379.55,23780.087,554,9303.5302938534,1110,0.72,0.87,0.22,0.42,0.92
